File,Algo,INP_SNR,OUT_SNR,SNR_Improv,SegSNR_In,SegSNR_Out,SegSNR_Improv,STOI_In,STOI_Out,STOI_Improv,MOS_S_In,MOS_S_Out,MOS_S_Improv,MOS_A_In,MOS_A_Out,MOS_A_Improv
highway_-6.62dB,RWPV,-7.719808,4.075538,11.795346,-7.459859,-1.318711,6.141148,0.619530,0.661460,0.041930,2.569653,3.035764,0.466111,3.464666,3.887206,0.422540
highway_-6.62dB,RSPV,-7.719808,4.248017,11.967824,-7.459859,-0.594822,6.865037,0.619530,0.663822,0.044292,2.569653,3.039310,0.469657,3.464666,3.896935,0.432269
interior 80_-6.44dB,RWPV,-6.440001,4.486667,10.926669,-6.938102,-1.295990,5.642112,0.679183,0.703503,0.024320,2.884330,3.205898,0.321568,3.572705,3.993020,0.420314
interior 80_-6.44dB,RSPV,-6.440001,4.762627,11.202628,-6.938102,-0.533122,6.404979,0.679183,0.705901,0.026718,2.884330,3.219735,0.335405,3.572705,4.015794,0.443088
road bump_4.95dB,RWPV,1.846269,7.507359,5.661090,-1.481712,2.434576,3.916288,0.681029,0.719842,0.038813,3.091714,3.323255,0.231541,3.777564,3.986910,0.209346
road bump_4.95dB,RSPV,1.846269,7.168204,5.321935,-1.481712,1.878367,3.360079,0.681029,0.713836,0.032807,3.091714,3.319015,0.227301,3.777564,3.982144,0.204580
rough surfaces_-2.31dB,RWPV,-1.042115,4.029052,5.071167,-2.682217,1.155793,3.838011,0.600069,0.629306,0.029237,2.353947,2.722363,0.368416,3.273670,3.595171,0.321501
rough surfaces_-2.31dB,RSPV,-1.042115,3.935155,4.977270,-2.682217,1.091554,3.773771,0.600069,0.627297,0.027228,2.353947,2.725456,0.371509,3.273670,3.595397,0.321727
under highway bridge_-3.56dB,RWPV,-4.659812,4.541286,9.201099,-6.130310,-0.550433,5.579877,0.596469,0.641325,0.044857,2.375798,2.916057,0.540259,3.552558,3.883989,0.331431
under highway bridge_-3.56dB,RSPV,-4.659812,4.568478,9.228290,-6.130310,-0.223841,5.906469,0.596469,0.644989,0.048520,2.375798,2.944274,0.568476,3.552558,3.878652,0.326094
